competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.109257197268094,993.9059678746826,1006.0940321253174,gao_local,1
gpt-4-0125-preview,997.8920413144656,7.7640956125998395,982.6746935412444,1013.1093890876867,gao_local,2
gpt-4-0314,928.1678561767364,4.10782105708336,920.1166748499178,936.219037503555,gao_local,3
gpt-4-0613,909.1956695630357,3.2140334755013806,902.8962797059469,915.4950594201246,gao_local,4
qwen1.5-72b-chat,899.1036942276024,10.686078106052259,878.159366003758,920.0480224514469,gao_local,5
mistral-medium,894.6765470657784,4.363683689421825,886.1238841945867,903.22920993697,gao_local,6
claude-1,887.6911157033434,4.080678409076763,879.6931329890626,895.689098417624,gao_local,7
claude-2.0,872.6275447907536,5.095525350702598,862.6404986210657,882.6145909604415,gao_local,8
gemini-pro-dev-api,865.6475507840136,6.509106704995838,852.8899360706935,878.4051654973335,gao_local,9
gemini-pro,863.062904861285,6.605847727770833,850.1156812274985,876.0101284950716,gao_local,10
mixtral-8x7b-instruct-v0.1,863.0540201285053,4.186888989705657,854.847868501415,871.2601717555956,gao_local,11
yi-34b-chat,862.1514256611251,6.569422455988435,849.2755942481591,875.0272570740912,gao_local,12
claude-2.1,859.099984909631,3.3653034522363954,852.5041113461994,865.6958584730626,gao_local,13
gpt-3.5-turbo-0613,854.2642212372396,2.9717182139810627,848.439760565635,860.088681908844,gao_local,14
gpt-3.5-turbo-0125,851.8537328403256,8.525299059883785,835.1444537255202,868.563011955131,gao_local,15
claude-instant-1,850.142271335766,3.9162193286078906,842.4666224961351,857.8179201753971,gao_local,16
starling-lm-7b-alpha,849.8794742543641,7.384946812471854,835.4052444741754,864.353704034553,gao_local,17
wizardlm-70b,849.8426876331918,6.1428176159194186,837.8029863423915,861.882388923992,gao_local,18
gpt-3.5-turbo-0314,849.6127707200699,7.617844727905837,834.6820694135562,864.5434720265837,gao_local,19
llama-2-70b-chat,849.2618376945713,4.248496439683416,840.9349376843452,857.5887377047975,gao_local,20
mistral-7b-instruct-v0.2,846.4439990766728,25.058956753957,797.3293463487703,895.5586518045752,gao_local,21
nous-hermes-2-mixtral-8x7b-dpo,843.1637287983747,13.888799230738012,815.9421825176205,870.3852750791287,gao_local,22
vicuna-33b,843.1131086508487,4.092079592278325,835.092780028112,851.1334372735856,gao_local,23
tulu-2-dpo-70b,832.6644220787698,7.174843444676149,818.6019873324913,846.7268568250483,gao_local,24
pplx-70b-online,823.0933148063559,6.612142423496149,810.133753795654,836.0528758170577,gao_local,25
openhermes-2.5-mistral-7b,819.9022884792363,8.082273217535532,804.061324059654,835.7432528988186,gao_local,26
deepseek-llm-67b-chat,819.6380623204158,9.006561422788277,801.9855263072029,837.2905983336286,gao_local,27
openchat-3.5,819.0796915632221,6.190163896757284,806.9471932671777,831.2121898592666,gao_local,28
solar-10.7b-instruct-v1.0,813.777174404777,8.356126129191338,797.3994681412879,830.1548806682662,gao_local,29
llama2-70b-steerlm-chat,812.739597231761,9.766856470883738,793.5969103066568,831.8822841568651,gao_local,30
gpt-3.5-turbo-1106,811.9957007456826,4.385856226559962,803.3995805002543,820.5918209911108,gao_local,31
dolphin-2.2.1-mistral-7b,808.719211949217,12.973855644697327,783.2909221449885,834.1475017534453,gao_local,32
wizardlm-13b,808.5198919256432,6.3620426261721015,796.0505175102371,820.9892663410491,gao_local,33
openchat-3.5-0106,807.5624344880013,16.0517737035377,776.1015361410803,839.0233328349223,gao_local,34
llama-2-13b-chat,797.2049099586192,4.8871076194638325,787.6263550358988,806.7834648813396,gao_local,35
codellama-34b-instruct,794.6632824556713,6.560665988227205,781.8046134041491,807.5219515071934,gao_local,36
llama-2-7b-chat,794.4688281500511,5.904133398656761,782.8969393287638,806.0407169713385,gao_local,37
qwen1.5-7b-chat,792.6525567630645,17.44447931539562,758.4620055758351,826.8431079502938,gao_local,38
zephyr-7b-beta,791.9163168391319,5.092030906529183,781.9361196541698,801.8965140240939,gao_local,39
mpt-30b-chat,788.9645995539913,10.340594216686881,768.6974073105418,809.2317917974407,gao_local,40
pplx-7b-online,785.5401767180243,7.1612104572615,771.5044621360802,799.5758912999685,gao_local,41
guanaco-33b,785.2807751450987,9.744022534094604,766.1828419137265,804.3787083764707,gao_local,42
vicuna-13b,779.2202749403567,4.37905815795,770.6374786645684,787.8030712161451,gao_local,43
zephyr-7b-alpha,773.8018004667806,12.287056853015091,749.719611558875,797.8839893746863,gao_local,44
stripedhyena-nous-7b,770.1773362706908,8.44985218650962,753.6159303104449,786.7387422309366,gao_local,45
qwen-14b-chat,762.059525711581,7.741744977608309,746.8859843779749,777.2330670451871,gao_local,46
falcon-180b-chat,762.0392511812505,14.943411969551638,732.7507019147845,791.3278004477164,gao_local,47
palm-2,755.9945926562859,5.736124987141652,744.7519942706681,767.2371910419039,gao_local,48
qwen1.5-4b-chat,750.1202956343651,18.109744167606316,714.6258492966224,785.6147419721078,gao_local,49
mistral-7b-instruct,745.7006385494589,6.305730557336049,733.3416337608666,758.0596433380513,gao_local,50
vicuna-7b,737.9967697646719,6.429486646879298,725.3952074977071,750.5983320316363,gao_local,51
koala-13b,722.7577336474853,6.476802951666829,710.0634331272556,735.452034167715,gao_local,52
chatglm3-6b,698.8537457345662,8.634347189063151,681.9307362139878,715.7767552551446,gao_local,53
gpt4all-13b-snoozy,676.1662465378238,12.934961559864567,650.8141877390792,701.5183053365685,gao_local,54
mpt-7b-chat,659.2168273483773,8.649852294488658,642.2634283795883,676.1702263171661,gao_local,55
alpaca-13b,649.1689022016353,7.028481306547265,635.3933319747897,662.944472428481,gao_local,56
RWKV-4-Raven-14B,648.9018818636554,7.792447880508627,633.6289646664529,664.1747990608578,gao_local,57
chatglm2-6b,647.583095735421,11.657766440921149,624.7342933710358,670.4318980998061,gao_local,58
oasst-pythia-12b,629.0105581993553,6.893306241780677,615.49992623106,642.5211901676505,gao_local,59
fastchat-t5-3b,616.9602521122837,8.455215141309894,600.3883349537786,633.5321692707888,gao_local,60
chatglm-6b,601.2039347148052,7.616691315079732,586.2754940558898,616.1323753737206,gao_local,61
stablelm-tuned-alpha-7b,566.6166023845034,9.794765897332612,547.4192139887303,585.8139907802765,gao_local,62
dolly-v2-12b,554.8729810901405,9.771654704835859,535.7208897993007,574.0250723809801,gao_local,63
llama-13b,538.5628556256614,11.760314787930215,515.5130621944644,561.6126490568583,gao_local,64
