competitor,rating,standard_error,ci_lower,ci_upper,ci_method,rank
gpt-4-1106-preview,1000.0,3.109345720899713,993.9057943715528,1006.0942056284472,gao_local,1
gpt-4-0125-preview,997.8515937244445,7.764279905361588,982.6338847440477,1013.0693027048412,gao_local,2
gpt-4-0314,928.148562054817,4.107787703820893,920.0974460991916,936.1996780104425,gao_local,3
gpt-4-0613,909.1855099773018,3.2140336193435948,902.8861198382873,915.4849001163161,gao_local,4
qwen1.5-72b-chat,898.9631358514896,10.686188710056438,878.0185908477804,919.9076808551988,gao_local,5
mistral-medium,894.6480261894685,4.36369323136548,886.0953446164109,903.200707762526,gao_local,6
claude-1,887.6819261264974,4.080649911795498,879.6839992658616,895.6798529871331,gao_local,7
claude-2.0,872.6261429740091,5.095485860335007,862.6391742040195,882.6131117439988,gao_local,8
gemini-pro-dev-api,865.6210851757828,6.509135203011259,852.8634146073789,878.3787557441866,gao_local,9
gemini-pro,863.0410553323359,6.605863987813786,850.0937998294507,875.988310835221,gao_local,10
mixtral-8x7b-instruct-v0.1,862.9924964151489,4.186920919838641,854.7862822061479,871.19871062415,gao_local,11
yi-34b-chat,862.1048675218069,6.569416875321014,849.2290470467481,874.9806879968658,gao_local,12
claude-2.1,859.0675071148299,3.365326009371899,852.4715893402251,865.6634248894347,gao_local,13
gpt-3.5-turbo-0613,854.2486428414784,2.971711358911636,848.424195605563,860.0730900773938,gao_local,14
gpt-3.5-turbo-0125,851.7341733409282,8.525422718780492,835.024651859139,868.4436948227176,gao_local,15
claude-instant-1,850.1246420275115,3.916177572736944,842.4490750278836,857.8002090271394,gao_local,16
wizardlm-70b,849.8197978407916,6.1427542364881935,837.7802207713939,861.8593749101892,gao_local,17
starling-lm-7b-alpha,849.7448504360428,7.384919777689414,835.2706736430541,864.2190272290317,gao_local,18
gpt-3.5-turbo-0314,849.5892859425308,7.617506250241371,834.659248040049,864.5193238450127,gao_local,19
llama-2-70b-chat,849.2064626346867,4.248429323171153,840.8796941704074,857.5332310989661,gao_local,20
vicuna-33b,843.1070164577696,4.0920539793369946,835.0867380354754,851.127294880064,gao_local,21
nous-hermes-2-mixtral-8x7b-dpo,843.1065849233122,13.888789689459054,815.8850573431212,870.3281125035032,gao_local,22
mistral-7b-instruct-v0.2,837.5162014988654,24.85039132308487,788.8103295038923,886.2220734938384,gao_local,23
tulu-2-dpo-70b,832.6381106098482,7.174831204828038,818.5756998532312,846.7005213664653,gao_local,24
pplx-70b-online,823.068746065388,6.612138764875697,810.1091922254506,836.0282999053256,gao_local,25
openhermes-2.5-mistral-7b,819.8613832993535,8.082280911636435,804.0204037996106,835.7023627990965,gao_local,26
deepseek-llm-67b-chat,819.5853328328426,9.006630350222688,801.9326617243408,837.2380039413445,gao_local,27
openchat-3.5,819.0504920713608,6.190151288428266,806.9180184871872,831.1829656555344,gao_local,28
solar-10.7b-instruct-v1.0,813.7457443473465,8.356137159231324,797.3680164653763,830.1234722293168,gao_local,29
llama2-70b-steerlm-chat,812.7059477178154,9.766896494601413,793.5631823476662,831.8487130879647,gao_local,30
gpt-3.5-turbo-1106,811.9793221603338,4.385847184867137,803.3832196362979,820.5754246843699,gao_local,31
dolphin-2.2.1-mistral-7b,808.6903936102658,12.973850677923435,783.2621135407353,834.1186736797963,gao_local,32
wizardlm-13b,808.5287119642119,6.36199308151057,796.0594346545581,820.9979892738655,gao_local,33
openchat-3.5-0106,807.5101010229591,16.05129364198054,776.0501435794006,838.9700584665177,gao_local,34
llama-2-13b-chat,797.2186664446816,4.8870638003379625,787.6401974058698,806.7971354834935,gao_local,35
codellama-34b-instruct,794.923942121711,6.55772427491173,782.0710387223398,807.776845521082,gao_local,36
llama-2-7b-chat,794.4695282408335,5.904097988572578,782.8977088220358,806.0413476596311,gao_local,37
qwen1.5-7b-chat,792.689684072838,17.44354164055759,758.5009706945204,826.8783974511556,gao_local,38
zephyr-7b-beta,791.9068127819971,5.092002133463203,781.9266719912082,801.8869535727862,gao_local,39
mpt-30b-chat,788.9634878542786,10.340515387295541,768.6964501135972,809.2305255949601,gao_local,40
pplx-7b-online,785.5339145119322,7.1611312139883,771.4983552439494,799.5694737799148,gao_local,41
guanaco-33b,785.3172812458145,9.74400677314848,766.2193789053291,804.4151835862999,gao_local,42
vicuna-13b,779.3510143883238,4.378361662758745,770.7695832180259,787.9324455586219,gao_local,43
zephyr-7b-alpha,773.8036719895629,12.287027517798153,749.721540577626,797.8858034014999,gao_local,44
stripedhyena-nous-7b,770.1245710314217,8.449945948980668,753.5629813001094,786.686160762734,gao_local,45
falcon-180b-chat,762.0489377700891,14.943253679404906,732.7606987466097,791.3371767935683,gao_local,46
qwen-14b-chat,762.0268440281702,7.741814157661418,746.8531671041516,777.200520952189,gao_local,47
palm-2,756.0047335679906,5.736079815835116,744.7622237165066,767.2472434194744,gao_local,48
qwen1.5-4b-chat,750.1675099013939,18.108435627697368,714.6756282547451,785.6593915480427,gao_local,49
mistral-7b-instruct,745.6954355728316,6.305691557869503,733.3365072217891,758.054363923874,gao_local,50
vicuna-7b,738.00864115166,6.429441233416792,725.4071678934463,750.6101144098736,gao_local,51
koala-13b,722.7810784119815,6.476808617700191,710.0867667865305,735.4753900374326,gao_local,52
chatglm3-6b,698.7812391233201,8.634775662849941,681.8573898095513,715.705088437089,gao_local,53
gpt4all-13b-snoozy,676.1132791250543,12.935443684334624,650.7602753797123,701.4662828703962,gao_local,54
mpt-7b-chat,659.2256041499675,8.649852025464854,642.2722057084555,676.1790025914795,gao_local,55
alpaca-13b,649.1943225949594,7.028464366928263,635.418785569157,662.969859620762,gao_local,56
RWKV-4-Raven-14B,648.9336026391552,7.792371605433839,633.6608349383523,664.2063703399581,gao_local,57
chatglm2-6b,647.6399016200126,11.657120473766156,624.7923653279863,670.4874379120387,gao_local,58
