dataset_key,dataset_name,k,pair_count,max_actions,variant,action,candidate_mode,player_pair,met,n_actions,initial_value,final_value,variant_label,n_actions_plot,success_label
arena55k,Chatbot Arena 55k,1,63,575,add_outcomes,add,all_outcomes,"('gpt-4-0125-preview', 'gpt-4-1106-preview')",True,9,-0.012367220659471243,0.001032451948595363,"Add
outcomes",9,9
arena55k,Chatbot Arena 55k,1,63,575,add_pairs,add,all_pairs,"('gpt-4-0125-preview', 'gpt-4-1106-preview')",True,9,-0.012367220659471243,1.730023644394953e-05,"Add
pairs",9,9
arena55k,Chatbot Arena 55k,1,63,575,add_weighted,add,weighted,"('gpt-4-0125-preview', 'gpt-4-1106-preview')",True,9,-0.012367220659471243,0.001032451948595363,"Add
weighted",9,9
arena55k,Chatbot Arena 55k,1,63,575,drop,drop,,"('gpt-4-0125-preview', 'gpt-4-1106-preview')",True,7,-0.012367220659471243,0.00916347460503858,Drop,7,7
arena55k,Chatbot Arena 55k,1,63,575,flip,flip,,"('gpt-4-0125-preview', 'gpt-4-1106-preview')",True,4,-0.012367220659471243,0.0010204800595278113,Flip,4,4
arena55k,Chatbot Arena 55k,3,183,575,add_outcomes,add,all_outcomes,"('gpt-4-0314', 'mistral-7b-instruct-v0.2')",True,34,0.5217218058975717,-0.00924720135461854,"Add
outcomes",34,34
arena55k,Chatbot Arena 55k,3,183,575,add_pairs,add,all_pairs,"('gpt-4-0314', 'qwen1.5-72b-chat')",True,125,0.16800481827116576,-0.0002520173066312137,"Add
pairs",125,125
arena55k,Chatbot Arena 55k,3,183,575,add_weighted,add,weighted,"('gpt-4-0314', 'mistral-7b-instruct-v0.2')",True,37,0.5217218058975717,-0.002911824756360537,"Add
weighted",37,37
arena55k,Chatbot Arena 55k,3,183,575,drop,drop,,"('gpt-4-0314', 'mistral-7b-instruct-v0.2')",True,29,0.5217218058975717,-0.007970843209480938,Drop,29,29
arena55k,Chatbot Arena 55k,3,183,575,flip,flip,,"('gpt-4-0314', 'mistral-7b-instruct-v0.2')",True,17,0.5217218058975717,-0.03403846546237316,Flip,17,17
arena55k,Chatbot Arena 55k,5,295,575,add_outcomes,add,all_outcomes,"('qwen1.5-72b-chat', 'mistral-medium')",True,4,0.02483976795599563,-0.0015770281993586766,"Add
outcomes",4,4
arena55k,Chatbot Arena 55k,5,295,575,add_pairs,add,all_pairs,"('qwen1.5-72b-chat', 'mistral-medium')",True,25,0.02483976795599563,-0.00037936955702677633,"Add
pairs",25,25
arena55k,Chatbot Arena 55k,5,295,575,add_weighted,add,weighted,"('qwen1.5-72b-chat', 'mistral-medium')",True,7,0.02483976795599563,-0.002822993544078778,"Add
weighted",7,7
arena55k,Chatbot Arena 55k,5,295,575,drop,drop,,"('qwen1.5-72b-chat', 'mistral-medium')",True,5,0.02483976795599563,-0.00068977349467092,Drop,5,5
arena55k,Chatbot Arena 55k,5,295,575,flip,flip,,"('qwen1.5-72b-chat', 'mistral-medium')",True,5,0.02483976795599563,-0.001998310332639419,Flip,5,5
arena55k,Chatbot Arena 55k,10,540,575,add_outcomes,add,all_outcomes,"('gemini-pro', 'mixtral-8x7b-instruct-v0.1')",True,1,0.00027952759712313036,-0.0021388626628623397,"Add
outcomes",1,1
arena55k,Chatbot Arena 55k,10,540,575,add_pairs,add,all_pairs,"('gemini-pro', 'mixtral-8x7b-instruct-v0.1')",True,1,0.00027952759712313036,-0.0011332665861339963,"Add
pairs",1,1
arena55k,Chatbot Arena 55k,10,540,575,add_weighted,add,weighted,"('gemini-pro', 'mixtral-8x7b-instruct-v0.1')",True,1,0.00027952759712313036,-0.0016707993465568949,"Add
weighted",1,1
arena55k,Chatbot Arena 55k,10,540,575,drop,drop,,"('gemini-pro', 'yi-34b-chat')",True,3,0.005389130241910012,-0.0005938906985420989,Drop,3,3
arena55k,Chatbot Arena 55k,10,540,575,flip,flip,,"('gemini-pro', 'mixtral-8x7b-instruct-v0.1')",True,1,0.00027952759712313036,-0.00362711890639722,Flip,1,1
arena55k,Chatbot Arena 55k,20,880,575,add_outcomes,add,all_outcomes,"('llama-2-70b-chat', 'mistral-7b-instruct-v0.2')",True,3,0.06729455256145767,-0.01050631725810558,"Add
outcomes",3,3
arena55k,Chatbot Arena 55k,20,880,575,add_pairs,add,all_pairs,"('llama-2-70b-chat', 'mistral-7b-instruct-v0.2')",True,4,0.06729455256145767,-0.0029572155729780114,"Add
pairs",4,4
arena55k,Chatbot Arena 55k,20,880,575,add_weighted,add,weighted,"('llama-2-70b-chat', 'mistral-7b-instruct-v0.2')",True,4,0.06729455256145767,-0.008450260573666601,"Add
weighted",4,4
arena55k,Chatbot Arena 55k,20,880,575,drop,drop,,"('llama-2-70b-chat', 'mistral-7b-instruct-v0.2')",True,3,0.06729455256145767,-0.009394227937002952,Drop,3,3
arena55k,Chatbot Arena 55k,20,880,575,flip,flip,,"('gpt-3.5-turbo-0314', 'mistral-7b-instruct-v0.2')",True,2,0.0694982606662139,-0.01505028799731023,Flip,2,2
arena55k,Chatbot Arena 55k,40,960,575,add_outcomes,add,all_outcomes,"('qwen1.5-7b-chat', 'pplx-7b-online')",True,3,0.04119192079958611,-0.008016941031445457,"Add
outcomes",3,3
arena55k,Chatbot Arena 55k,40,960,575,add_pairs,add,all_pairs,"('qwen1.5-7b-chat', 'pplx-7b-online')",True,5,0.04119192079958611,-0.008631810031193954,"Add
pairs",5,5
arena55k,Chatbot Arena 55k,40,960,575,add_weighted,add,weighted,"('qwen1.5-7b-chat', 'pplx-7b-online')",True,4,0.04119192079958611,-0.00033109450894719394,"Add
weighted",4,4
arena55k,Chatbot Arena 55k,40,960,575,drop,drop,,"('mpt-30b-chat', 'pplx-7b-online')",True,5,0.019742211133537024,-0.0016416403773769073,Drop,5,5
arena55k,Chatbot Arena 55k,40,960,575,flip,flip,,"('mpt-30b-chat', 'guanaco-33b')",True,2,0.02098925245659422,-0.005294188450384096,Flip,2,2
