model_a,model_b,outcome,candidate_probability,_candidate_x,raw_influence,influence,influence_abs,row_uid,skill_a,skill_b,skill_gap_abs,pair_key,match_count,bridge_variance,closeness_log_gap,surprise
gpt-4-1106-preview,koala-13b,1.0,1.0,"[-1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",4.632818575668019e-05,4.632818575668019e-05,4.632818575668019e-05,0,0.0,-1.5958003908611436,1.5958003908611436,"('gpt-4-1106-preview', 'koala-13b')",0,0.6366447218681447,0.4673754228231725,0.16856938685847056
gpt-4-1106-preview,gpt-3.5-turbo-0613,1.0,1.0,"[ 0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",8.466169085359687e-05,8.466169085359687e-05,8.466169085359687e-05,1,0.0,-0.8390122556921592,0.8390122556921592,"('gpt-3.5-turbo-0613', 'gpt-4-1106-preview')",1414,0.17598539130041127,-0.17552996512202554,0.3017428551369472
gpt-4-1106-preview,llama-2-13b-chat,1.0,1.0,"[ 0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",6.678095997613937e-05,6.678095997613937e-05,6.678095997613937e-05,2,0.0,-1.1673031894548223,1.1673031894548223,"('gpt-4-1106-preview', 'llama-2-13b-chat')",94,0.34064918402785016,0.15469612200789912,0.23734279133381442
gpt-4-1106-preview,vicuna-13b,1.0,1.0,"[ 0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",6.134464677598717e-05,6.134464677598717e-05,6.134464677598717e-05,3,0.0,-1.2701576626342588,1.2701576626342588,"('gpt-4-1106-preview', 'vicuna-13b')",94,0.4033251219871309,0.23914103657179822,0.21923026403944135
gpt-4-1106-preview,mixtral-8x7b-instruct-v0.1,1.0,1.0,"[ 0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",8.420223707549909e-05,8.420223707549909e-05,8.420223707549909e-05,4,0.0,-0.7886785884570172,0.7886785884570172,"('gpt-4-1106-preview', 'mixtral-8x7b-instruct-v0.1')",756,0.15550347897263828,-0.2373964068394156,0.3124524724985962
gpt-4-1106-preview,gemini-pro,1.0,1.0,"[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",7.16688366306106e-05,7.16688366306106e-05,7.16688366306106e-05,5,0.0,-0.7883990608598941,0.7883990608598941,"('gemini-pro', 'gpt-4-1106-preview')",520,0.15539326979119075,-0.23775089490177748,0.312512525421057
gpt-4-1106-preview,gpt-4-0314,1.0,1.0,"[ 0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",0.00010289227064116325,0.00010289227064116325,0.00010289227064116325,6,0.0,-0.41361012480691006,0.41361012480691006,"('gpt-4-0314', 'gpt-4-1106-preview')",718,0.04276833383569693,-0.8828314763803115,0.39804679767700746
gpt-4-1106-preview,vicuna-7b,1.0,1.0,"[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",4.994626191556441e-05,4.994626191556441e-05,4.994626191556441e-05,7,0.0,-1.5081434934436015,1.5081434934436015,"('gpt-4-1106-preview', 'vicuna-7b')",20,0.5686241992040677,0.4108794198622825,0.18121409031431424
gpt-4-1106-preview,chatglm3-6b,1.0,1.0,"[ 0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",4.1410121585909253e-05,4.1410121585909253e-05,4.1410121585909253e-05,8,0.0,-1.7339545713119018,1.7339545713119018,"('chatglm3-6b', 'gpt-4-1106-preview')",188,0.7516496138433603,0.5504046792330924,0.15008244537171156
gpt-4-1106-preview,pplx-70b-online,1.0,1.0,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]",7.469822055760183e-05,7.469822055760183e-05,7.469822055760183e-05,9,0.0,-1.0184981694864497,1.0184981694864497,"('gpt-4-1106-preview', 'pplx-70b-online')",126,0.2593346303118122,0.018329159418945064,0.2653200421265809
