objective_key,action,focus_players,top_k,focus_hit_rate,focus_match_count,row_label
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_outcomes,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,add-out | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_pairs,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,add-pair | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_weighted,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,add-w | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,drop,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,drop | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,flip,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,flip | ci_boundary · top1_top2 · gpt-4-1…
kendall_tau__fitted_ranking__T0.5,add_all_outcomes,,20,,0,add-out | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,add_all_pairs,,20,,0,add-pair | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,add_weighted,,20,,0,add-w | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,drop,,20,,0,drop | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,flip,,20,,0,flip | kendall_tau · fitted_ranking · T0…
player_uncertainty__gpt-4-1106-preview,add_all_outcomes,gpt-4-1106-preview,20,1.0,20,add-out | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,add_all_pairs,gpt-4-1106-preview,20,1.0,20,add-pair | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,add_weighted,gpt-4-1106-preview,20,1.0,20,add-w | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,drop,gpt-4-1106-preview,20,1.0,20,drop | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,flip,gpt-4-1106-preview,20,1.0,20,flip | player_uncertainty · gpt-4-1106-p…
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_outcomes,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,add-out | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_pairs,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,add-pair | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_weighted,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,add-w | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,drop,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,drop | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,flip,"gpt-4-0125-preview, gpt-4-1106-preview",20,1.0,20,flip | skill_gap · gpt-4-1106-preview · …
trace_uncertainty,add_all_outcomes,,20,,0,add-out | trace_uncertainty
trace_uncertainty,add_all_pairs,,20,,0,add-pair | trace_uncertainty
trace_uncertainty,add_weighted,,20,,0,add-w | trace_uncertainty
trace_uncertainty,drop,,20,,0,drop | trace_uncertainty
trace_uncertainty,flip,,20,,0,flip | trace_uncertainty
