dataset_key,dataset_name,k,method,variant,action,candidate_mode,target_top_player,target_outside_player,remaining_order,model_a,model_b,winner,match_id,match_copy,outcome,row_uid
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,0,alpaca-13b,gpt-3.5-turbo,0.0,0,forward,0.0,0
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,1,alpaca-13b,gpt-3.5-turbo,0.0,1,forward,0.0,1
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,2,alpaca-13b,gpt-3.5-turbo,0.0,2,forward,0.0,2
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,3,alpaca-13b,gpt-3.5-turbo,0.0,3,forward,0.0,3
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,4,alpaca-13b,vicuna-13b-v1.2,0.0,4,forward,0.0,4
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,5,alpaca-13b,vicuna-13b-v1.2,1.0,5,forward,1.0,5
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,6,claude-v1,alpaca-13b,1.0,6,forward,1.0,6
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,7,claude-v1,alpaca-13b,1.0,7,forward,1.0,7
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,8,claude-v1,llama-13b,1.0,8,forward,1.0,8
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,9,claude-v1,llama-13b,1.0,9,forward,1.0,9
mt_bench_human,MT-Bench Human Judgments,2,nonci,drop,drop,,claude-v1,gpt-3.5-turbo,10,gpt-3.5-turbo,alpaca-13b,1.0,10,forward,1.0,10
